destination,name,balanced,business,leisure,settlement,reach,pca,entropy,gamma_flat,gamma_sharp,gamma_extreme
GMB,Gambia,0.7707819803596467,0.7331169239044032,0.8770499668612313,0.8127427967004566,0.7002393773604845,0.6873294375675602,0.7948067076330967,0.8856118850253472,0.5574455465257976,0.2517225848109899
GNB,Guinea-Bissau,0.5811837584127059,0.5607130722260261,0.6792500215767381,0.5200079131431712,0.6952639004879239,0.4378590094051775,0.504119813733059,0.7690142620737389,0.31693213953461213,0.08136728914961175
GNQ,Equatorial Guinea,0.7588241515400156,0.7547242627139059,0.7511552974470809,0.7183387729197918,0.8557250699262292,0.7452439234107214,0.7108455216574926,0.8787153887855916,0.5402834123824064,0.23646156009126273
GRC,Greece,1.3440866810516097,1.322461357663067,1.29750015499843,1.4466449653485594,1.1413875452740414,1.4610200813942062,1.4642009063893795,1.169475959178133,1.6950944398481167,2.327582487325031
GRD,Grenada,0.841267945318545,0.7613423042793634,0.8617939942599103,0.9567453718112041,0.5154767792616249,1.049634293782154,0.9800075264422914,0.9252196128511896,0.6640610793670952,0.35721800131449705
GTM,Guatemala,0.9308256501637356,0.9531479441110452,0.9306354638133648,0.9075235803531474,1.0398313597298638,0.8851727503400725,0.9122475277175633,0.9732218053482492,0.8129728251986909,0.5353888718658033
GUY,Guyana,0.9441926664014562,1.0087411650421532,0.8158571352506612,0.9976134523607664,1.063611999648973,0.9796433437577823,0.9236887120241538,0.9801848172777996,0.8364896852350315,0.5668112511055902
HKG,Hong Kong,1.3693546933983678,1.421018783782003,1.2100400225997632,1.4285961909197664,1.2430438530361334,1.5045856320257793,1.4966061987043708,1.1804174935401375,1.7594270048453766,2.5076088233871854
HND,Honduras,0.8643615459507886,0.8661670962646657,0.9065093727255524,0.7880965902213694,0.9847093206296764,0.8006794868825537,0.8333700670257097,0.93783271512678,0.7010196947035232,0.3980867484445043
HRV,Croatia,1.272878471085208,1.2521329704724213,1.2640688302544403,1.3482585378986267,1.0816583432463522,1.3785045256322472,1.3520866117898387,1.138075647013475,1.520243749087657,1.87216333215111
HTI,Haiti,0.5935991783018176,0.5861682987558612,0.6549087773819298,0.4362664394733992,0.7790400916444092,0.5366931184141168,0.5126980844886405,0.7771848126438091,0.33061756759619804,0.08854603832896313
HUN,Hungary,1.2588666002416742,1.2483838375911493,1.264685127312738,1.2363666786040302,1.1864213612685757,1.32511960024324,1.2576046584331673,1.1317943335995329,1.4869582216672104,1.791079302748864
IDN,Indonesia,1.2090260718242147,1.200689118215479,1.2845720742676017,1.087929819874442,1.358399439953315,1.0955610756226029,1.103269711990522,1.1091633041027098,1.3715469435117906,1.5238374251830542
IND,India,1.1893595600576907,1.164099513927453,1.3324661240985836,0.9722085248986199,1.3977834148976471,1.0696762514617462,1.0546285095494872,1.1001052660354602,1.3272895641464346,1.42708105825771
IRL,Ireland,1.4687310923157169,1.5456459126283133,1.3132052295208303,1.5656024880189454,1.337473740456751,1.5573752917269745,1.5788916029639801,1.2224998206564377,2.0240625140229604,3.318678071789096
IRN,Iran,1.1268305534161247,1.0995496429427434,1.1791779534857376,0.9937889401308944,1.298435788150034,1.0972511983547424,1.0215554864694745,1.0707965586421342,1.1913971928388376,1.1498215056938168
IRQ,Iraq,0.9997683574460215,1.0010319695356045,1.0136766320721287,0.8904056580668386,1.18332123263912,0.9484299462400684,0.9271884183239391,1.0086194838743705,0.9378602273132702,0.7125141929544033
ISL,Iceland,1.1753354697839664,1.219965737774066,0.9853889042061865,1.3758434223633436,0.9469068421762972,1.3549167203129142,1.2957356844972356,1.0936002001340372,1.2961731759149133,1.3609536709363683
