destination,name,balanced,business,leisure,settlement,reach,pca,entropy,gamma_flat,gamma_sharp,gamma_extreme
ERI,Eritrea,0.511288689779171,0.510047938991238,0.615794403912984,0.3323462724547322,0.8044238068041767,0.3380526959151211,0.3908322061954254,0.7212913975046694,0.2452854096716042,0.0487372155924437
ESP,Spain,1.4658034408360858,1.4576298385056436,1.4438135201725544,1.512167882825302,1.3183718498881,1.5530259778289162,1.5306290588936255,1.2212807960312768,2.0160013465477675,3.2922963305582025
EST,Estonia,1.1883033089726798,1.2485433248693014,1.0018839119190934,1.4060173038923267,1.03557422212706,1.2890547319690473,1.3270676625802846,1.0996166646401797,1.324933121966568,1.4220183365458998
ETH,Ethiopia,0.810373751057911,0.7907817113979073,1.0052013778787168,0.5469824042497385,1.1270362830211362,0.6006401636750077,0.6630815135294074,0.908072120719503,0.6161835142608288,0.3075653677536129
FIN,Finland,1.335559384381322,1.3711911925110556,1.1716286922735697,1.5078008143962782,1.1663769150784242,1.455599551167691,1.466377423325343,1.1657603000378167,1.6736542734346902,2.269074649243998
FJI,Fiji,0.9951842847216954,0.96777163625835,0.9866593661304932,1.1001437730546308,0.8299631642786495,1.051485625061229,1.0853684859240245,1.006304499029922,0.9292795131812612,0.6995359010340941
FRA,France,1.4333339392238895,1.449426375211515,1.4035276790203972,1.4426045872154607,1.3534486251482345,1.499817356186808,1.468827838291402,1.2076785477948495,1.92767632292363,3.010131776678661
FSM,Micronesia,0.6035454572962694,0.5907347921150369,0.5909167986879985,0.7108307665228589,0.4104165370742175,0.6206115261506528,0.6911445282139509,0.7836689728190187,0.3417899709133397,0.0946315410521568
GAB,Gabon,0.9042130409738808,0.92075861213216,0.8596072022718954,0.9094296389605744,1.0007858451490437,0.8886471141453005,0.8808195723048957,0.9592085536062424,0.7671510377799446,0.4767371940506492
GBR,United Kingdom,1.4082174029070802,1.4345594843339655,1.3292103521324812,1.4467370504377082,1.3165225222774088,1.4996160290956544,1.44849835597568,1.19705061259844,1.8607102857387536,2.804624987129095
GEO,Georgia,1.1000839678598304,1.0810939695858857,1.0568510992375646,1.170635972803789,1.0226341080081642,1.1791650544768746,1.154807595316684,1.0580119608927478,1.1355101359233672,1.0444780382280985
GHA,Ghana,1.0072919871637285,1.0174903798347752,1.0346564172547266,0.9945784678605372,1.0844101396675108,0.8939306160093095,0.9726592559438384,1.0124074895651638,0.9520288354026052,0.7342052532493397
GIN,Guinea,0.6653856558789826,0.7137982150619049,0.6776258651977334,0.532157502982938,1.0055963118765812,0.4444957330689569,0.5519244486049084,0.8228380699669287,0.4154188630368771,0.1397943785521588
GMB,Gambia,0.7707819803596467,0.7331169239044032,0.8770499668612313,0.8127427967004566,0.7002393773604845,0.6873294375675602,0.7948067076330967,0.8856118850253472,0.5574455465257976,0.2517225848109899
GNB,Guinea-Bissau,0.5811837584127059,0.5607130722260261,0.6792500215767381,0.5200079131431712,0.6952639004879239,0.4378590094051775,0.504119813733059,0.7690142620737389,0.3169321395346121,0.0813672891496117
GNQ,Equatorial Guinea,0.7588241515400156,0.7547242627139059,0.7511552974470809,0.7183387729197918,0.8557250699262292,0.7452439234107214,0.7108455216574926,0.8787153887855916,0.5402834123824064,0.2364615600912627
GRC,Greece,1.3440866810516097,1.322461357663067,1.29750015499843,1.4466449653485594,1.1413875452740414,1.4610200813942062,1.4642009063893795,1.169475959178133,1.6950944398481167,2.327582487325031
GRD,Grenada,0.841267945318545,0.7613423042793634,0.8617939942599103,0.956745371811204,0.5154767792616249,1.049634293782154,0.9800075264422914,0.9252196128511896,0.6640610793670952,0.357218001314497
GTM,Guatemala,0.9308256501637356,0.9531479441110452,0.9306354638133648,0.9075235803531474,1.0398313597298638,0.8851727503400725,0.9122475277175632,0.9732218053482492,0.8129728251986909,0.5353888718658033
GUY,Guyana,0.9441926664014562,1.0087411650421532,0.8158571352506612,0.9976134523607664,1.063611999648973,0.9796433437577824,0.9236887120241538,0.9801848172777996,0.8364896852350315,0.5668112511055902
HKG,Hong Kong,1.3693546933983678,1.421018783782003,1.2100400225997632,1.4285961909197664,1.2430438530361334,1.504585632025779,1.4966061987043708,1.1804174935401377,1.7594270048453766,2.5076088233871854
HND,Honduras,0.8643615459507886,0.8661670962646657,0.9065093727255524,0.7880965902213694,0.9847093206296764,0.8006794868825537,0.8333700670257097,0.93783271512678,0.7010196947035232,0.3980867484445043
HRV,Croatia,1.272878471085208,1.2521329704724211,1.2640688302544405,1.3482585378986267,1.0816583432463522,1.3785045256322472,1.352086611789839,1.138075647013475,1.520243749087657,1.87216333215111
