iso3,gdp_pc_ppp,gdp_pc_ppp_year,gdp_total_ppp,gdp_total_ppp_year,trade_openness,trade_openness_year,hdi,hdi_year,internet_users,internet_users_year,tertiary_enroll,tertiary_enroll_year,population,population_year,surface_area,surface_area_year,tourist_arrivals,tourist_arrivals_year,tourism_receipts,tourism_receipts_year,air_departures,air_departures_year,rule_of_law,rule_of_law_year,electoral_democracy,electoral_democracy_year,homicide_rate,homicide_rate_year,gdp_total_usd,gdp_total_usd_year,price_level,price_level_year,country_name,lat,lon,land_area_km2,landlocked,n_land_borders,un_region,un_subregion,languages,english_official,independent,un_member,region,income_group,n_gdp_pc_ppp,n_gdp_total_ppp,n_trade_openness,n_hdi,n_internet_users,n_tertiary_enroll,n_population,n_surface_area,n_tourist_arrivals,n_tourism_receipts,n_air_departures,n_rule_of_law,n_electoral_democracy,n_homicide_rate,n_price_level,p_economy,p_development,p_scale,p_draw,p_security,p_cost,name
AZE,26112.5306828203,2025.0,267574997456.737,2025.0,79.8295815452306,2025.0,0.789,2023.0,90.80000181,2025.0,41.3413783372226,2024.0,10246996.0,2025.0,86600.0,2023.0,796000.0,2020.0,340000000.0,2020.0,28424.0,2023.0,0.053,2025.0,0.171,2025.0,2.16122820563689,2023.0,75937647058.8235,2025.0,0.2837994871740642,2025.0,Azerbaijan,40.5,47.5,86600.0,True,5.0,Asia,Western Asia,Azerbaijani|Russian,False,True,True,Europe & Central Asia,Upper middle income,0.6194366495852449,0.6385880795815222,0.19662788365905196,0.6745774901114707,0.8989646772991193,0.32540068926728016,0.6563471596286904,0.6271749213196668,0.5389103339100924,0.5150914681197856,0.6773833322618055,0.03793124578711931,0.12513402865776393,0.46645820600845794,0.8951280385527574,0.48488420427527307,0.6329809522259567,0.6417610404741786,0.5771283780972278,0.20984116015111373,0.8951280385527574,Azerbaijan
BDI,1248.05425025467,2025.0,17959504405.3275,2025.0,51.552881758394406,,0.439,2023.0,8.595999718,2024.0,6.38454008102417,2025.0,14390003.0,2025.0,27830.0,2023.0,299000.0,2017.0,3700000.04768372,2011.0,2291.0,1998.0,0.083,2025.0,0.185,2025.0,5.64974214487878,2016.0,3364713864.08488,2025.0,0.18735003974200828,2025.0,Burundi,-3.5,30.0,27834.0,True,3.0,Africa,Eastern Africa,French|Kirundi,False,True,True,Sub-Saharan Africa ,Low income,0.0,0.4047356144731559,0.10970120849739755,0.04530744336569579,0.0,0.03046393032349921,0.6893516291570718,0.5379117997124717,0.43073199411326124,0.04578004418134862,0.46352750246425756,0.06857037808689258,0.1421922214640803,0.3232903544247314,0.9982841784394922,0.1714789409901845,0.025257124563065,0.6136317144347718,0.3133465135862891,0.17801765132523475,0.9982841784394922,Burundi
BEL,74675.607672673,2025.0,891759752868.981,2025.0,152.917788719365,2025.0,0.951,2023.0,95.77579144,2024.0,82.1475601196289,2023.0,11941781.0,2025.0,30689.0,2023.0,2584000.0,2020.0,7447000000.0,2020.0,112605.0,2023.0,0.964,2025.0,0.889,2025.0,1.08030153549307,2021.0,725466462859.646,2025.0,0.8135223198015675,2025.0,Belgium,50.83333333,4.0,30528.0,False,4.0,Europe,Western Europe,Dutch|French|German,False,True,True,Europe & Central Asia,High income,0.837083927462682,0.7428019416530302,0.42131163003214794,0.9658396260338006,0.9536093088062421,0.6696893492303884,0.6712245944726926,0.5456013065420032,0.6690014224766021,0.8355317561507261,0.7942921550296086,0.9683395632902343,0.9999756311531338,0.5697721581061229,0.32857048867965505,0.6670658330492868,0.8630460946901438,0.6084129505073479,0.7662751112189788,0.846029117516497,0.32857048867965505,Belgium
BEN,4816.87504692826,2025.0,71359402707.7169,2025.0,37.1169356248994,2025.0,0.515,2023.0,33.98379898,2024.0,10.2350101470947,2022.0,14814460.0,2025.0,114760.0,2023.0,337000.0,2019.0,240860000.610352,2019.0,10.0,2016.0,0.77,2025.0,0.493,2025.0,1.1274974068,2017.0,24566420903.5337,2025.0,0.3442632641441245,2025.0,Benin,9.5,2.25,112622.0,False,4.0,Africa,Western Africa,French,False,True,True,Sub-Saharan Africa ,Lower middle income,0.2693142319986349,0.5241697593917173,0.06532301692421943,0.18194893923049263,0.2750033167624018,0.06295099775716563,0.6921772583927435,0.6493135307995185,0.4439499002824776,0.47930304213555863,0.002044888853755617,0.7702065077517005,0.5174724632030412,0.5634013731724354,0.8304598626194768,0.28626900277152384,0.17330108458335336,0.670745394596131,0.3084326104239306,0.6170267813757256,0.8304598626194768,Benin
BFA,3071.62546744866,2025.0,73948093046.1302,2025.0,65.0029506969427,2025.0,0.459,2023.0,28.25270081,2024.0,10.0419678526515,2024.0,24074580.0,2025.0,274200.0,2023.0,67000.0,2020.0,173000000.0,2019.0,2437.0,2023.0,0.482,2025.0,0.134,2025.0,1.25044051977478,2017.0,27627297461.3181,2025.0,0.3736039203077715,2025.0,Burkina Faso,13.0,-2.0,272967.0,True,6.0,Africa,Western Africa,French,False,True,True,Sub-Saharan Africa ,Low income,0.17611924176025562,0.5272546538739507,0.15104867062476138,0.08126573175116868,0.2120638094844795,0.06132226725685921,0.7393734078999157,0.7178041128925347,0.26547955323950007,0.44494784672321436,0.46877396430488816,0.4760708376738771,0.08005166195535628,0.5479817629687427,0.799078979554098,0.28480752208632254,0.11821726949750246,0.7285887603962251,0.39306712142253425,0.36803475419932535,0.799078979554098,Burkina Faso
BGD,10153.7083791829,2025.0,1783873538488.96,2025.0,27.9505840425563,2025.0,0.685,2023.0,53.42171316,2024.0,23.7295608009814,2024.0,175686899.0,2025.0,147570.0,2023.0,323000.0,2019.0,217899993.896484,2020.0,72684.0,2023.0,0.311,2025.0,0.195,2025.0,2.34217668208578,2018.0,456319229255.578,2025.0,0.25580245427156556,2025.0,Bangladesh,24.0,90.0,147570.0,False,2.0,Asia,Southern Asia,Bengali,False,True,True,South Asia,Lower middle income,0.4237794804516922,0.8028255479071442,0.037144323073008606,0.4875943905070119,0.48847248178278363,0.17680680485534608,0.9325646839356495,0.669086579619685,0.43926211360436157,0.46890280395249145,0.7571160476223739,0.30142778356516947,0.15437664489716346,0.4544789427953971,0.9250718683972795,0.421249783810615,0.38429122571504726,0.8008256317776672,0.5550936550597423,0.30342779041924334,0.9250718683972795,Bangladesh
BGR,44451.1001576913,2025.0,285967351546.676,2025.0,102.514263507931,2025.0,0.845,2023.0,82.438955,2024.0,69.5460433959961,2024.0,6433302.0,2025.0,110996.758,2023.0,4973000.0,2020.0,1792000000.0,2020.0,7027.0,2023.0,0.56,2025.0,0.599,2025.0,1.08890737415431,2023.0,130777235529.606,2025.0,0.4573152663137503,2025.0,Bulgaria,43.0,25.0,110879.0,False,5.0,Europe,Southeast Europe,Bulgarian,False,True,True,Europe & Central Asia,High income,0.729628495956514,0.6443431234985325,0.26636388520740417,0.7752606975907946,0.8071428046074772,0.563368220500015,0.6111004831295577,0.6466917465596626,0.7413318083378734,0.6876482108881302,0.5587062754314017,0.5557325816532876,0.6466273515937225,0.568589997754879,0.7095466955585592,0.5467785015541502,0.715257240899429,0.6288961148446102,0.662562098219135,0.5903166436672964,0.7095466955585592,Bulgaria
BHR,70996.7821254802,2025.0,113620836223.026,2025.0,157.480869430187,2024.0,0.899,2023.0,100.0,2024.0,58.3677241853667,2024.0,1600366.0,2025.0,800.0,2023.0,1909000.0,2020.0,724000000.0,2020.0,60083.0,2023.0,0.245,2025.0,0.139,2025.0,0.195636140255462,2022.0,48965725531.9149,2025.0,0.43095727121564414,2025.0,Bahrain,26.0,50.55,765.0,False,0.0,Asia,Western Asia,Arabic,False,True,True,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.826619559200508,0.5644371887167108,0.4353392017670465,0.8723480762315714,1.0,0.46905484998695257,0.475869239343219,0.2588226708016881,0.6355522239871949,0.5935602673076048,0.7409472746021954,0.23402169250566826,0.08614387367189787,0.8243543492751597,0.7377375157432938,0.6087986498947551,0.7804676420728414,0.36734595507245354,0.6566865886323318,0.381506638484242,0.7377375157432938,Bahrain
BHS,41257.7650774105,2024.0,16556039743.5585,2024.0,79.2424586933455,2024.0,0.82,2023.0,92.47270203,2024.0,76.39338302612305,1995.0,403033.0,2025.0,13880.0,2023.0,1794500.0,2020.0,1007000000.0,2020.0,41831.0,2023.0,0.9295,,0.7845,,32.1981392997156,2022.0,15832800000.0,2024.0,0.9563156555093502,2024.0,Bahamas,24.25,-76.0,13943.0,False,0.0,Americas,Caribbean,English,True,True,True,Latin America & Caribbean ,High income,0.7141863185461386,0.39769146508759723,0.19482298288171443,0.7303128371089534,0.9173344424902942,0.6211403835055996,0.34183224386058064,0.4832094633120128,0.6287186144919931,0.6278132290357258,0.7101977317139049,0.933104561145495,0.8726484062774149,0.0640061231161302,0.1758478997447406,0.4355669221718168,0.7562625543682824,0.41252085358629675,0.6555765250805412,0.62325303017968,0.1758478997447406,Bahamas
BIH,25814.2641520511,2025.0,81059241792.5348,2025.0,95.1215717200063,2025.0,0.804,2023.0,86.10091103,2024.0,45.5027618408203,2023.0,3140095.0,2025.0,51210.0,2023.0,197000.0,2020.0,438000000.0,2020.0,44.0,2020.0,0.462,2025.0,0.498,2025.0,1.22446173133237,2023.0,32599982936.3931,2025.0,0.40217478248600413,2025.0,Bosnia and Herzegovina,44.0,18.0,51209.0,False,3.0,Europe,Southeast Europe,Bosnian|Croatian|Serbian,False,True,True,Europe & Central Asia,Upper middle income,0.617057035688441,0.5352033289572253,0.24363767873834782,0.7015462064005754,0.8473587809116514,0.3605109859788425,0.5413846333685959,0.5858638494829209,0.3846348129118913,0.5413852595425324,0.1278665270387589,0.4556447494740283,0.5235646749195828,0.5511097078010622,0.7685214187384324,0.46529934779467136,0.6364719910970231,0.5636242414257584,0.35129553316439416,0.5101063773982245,0.7685214187384324,Bosnia and Herzegovina
