country,pagerank_as_destination,pagerank_as_passport,in_degree,out_degree,betweenness,hub_authority_gap,name
CZE,0.008467447158966175,0.003742904212370194,93,158,0.0009002012122894449,-0.00472454294659598,Czech Republic
DNK,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Denmark
DOM,0.002885820902183114,0.004372727549436098,108,67,0.0005166842295090633,0.001486906647252984,Dominican Republic
EGY,0.0020272164771744355,0.005766348366057612,124,48,0.0013315920381277878,0.003739131888883177,Egypt
SLV,0.006342181883036335,0.0033986780675230887,88,116,0.0007489844470310463,-0.002943503815513246,El Salvador
EST,0.008454730323846799,0.003742904212370194,93,158,0.0008603928074896015,-0.0047118261114766045,Estonia
FIN,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Finland
FRA,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,France
GMB,0.0034472460731623266,0.008248955184820796,132,65,0.004702193896299315,0.00480170911165847,Gambia
GEO,0.006252460216911309,0.00424506594831687,103,119,0.0021386651132494433,-0.0020073942685944392,Georgia
DEU,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Germany
GRC,0.008501909108178498,0.0037430301723574877,93,159,0.0008876804967148855,-0.00475887893582101,Greece
GUY,0.0034728198613289685,0.002981179249234854,62,82,0.0004833029426410512,-0.0004916406120941143,Guyana
HKG,0.008933519029657678,0.007669275789733575,147,153,0.01207612412734776,-0.0012642432399241031,Hong Kong
HUN,0.008501242332645594,0.0037430301723574877,93,159,0.0009124643973721398,-0.004758212160288107,Hungary
ISL,0.008389440375441159,0.0037425166338470777,93,155,0.0008360155180048151,-0.004646923741594081,Iceland
IDN,0.003263249706062535,0.004990988538404438,98,77,0.001807622557120872,0.0017277388323419032,Indonesia
IRN,0.0017872379228708484,0.011145696669816029,188,39,0.003719678635826469,0.009358458746945181,Iran
ISR,0.007949482566449083,0.00449134130178969,101,140,0.0028926824469200185,-0.003458141264659393,Israel
ITA,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Italy
JAM,0.0034065665029503153,0.005978883535283447,124,84,0.0013879262566954833,0.0025723170323331316,Jamaica
JOR,0.0020718701821668913,0.0068149966281851,144,49,0.002008876373572257,0.004743126446018209,Jordan
KAZ,0.0032331754328631434,0.0035765247603928903,85,78,0.0008307381163292204,0.000343349327529747,Kazakhstan
XKX,0.004714094837038186,0.004711428634079012,109,80,0.0009024054189689874,-2.666202959174767e-06,Kosovo
KGZ,0.0024321242154129973,0.0031533706368426723,84,61,0.000550988797926495,0.000721246421429675,Kyrgyzstan
LAO,0.0019524740808171547,0.009235805060507515,170,45,0.0022579356239824542,0.007283330979690361,Laos
LVA,0.008454730323846799,0.003742904212370194,93,158,0.0008603928074896015,-0.0047118261114766045,Latvia
LIE,0.008411403493088138,0.0037426474740316854,93,156,0.0008365814072632772,-0.004668756019056452,Liechtenstein
LTU,0.008420935150167381,0.0037427766564365845,93,157,0.000848129622406907,-0.004678158493730797,Lithuania
LUX,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Luxembourg
MWI,0.0024915252278672837,0.008490032087822962,148,67,0.0012417640541101539,0.0059985068599556785,Malawi
MYS,0.009289433303138634,0.009136249943651385,167,160,0.021161913304411823,-0.00015318335948724844,Malaysia
MLT,0.008516492787408424,0.0037430301723574877,93,159,0.0009268967319366212,-0.004773462615050936,Malta
MUS,0.006965098584334206,0.010802672112634755,182,127,0.013225535164882885,0.0038375735283005486,Mauritius
MDA,0.00578478133195722,0.004127846612472896,102,109,0.0010881887015187983,-0.0016569347194843233,Moldova
MCO,0.008214097748206363,0.0037422498508350673,93,153,0.00080267904129651,-0.004471847897371296,Monaco
MNE,0.006293500132200424,0.0039645971740614105,101,117,0.0008958851563971546,-0.0023289029581390133,Montenegro
NPL,0.0019037237084575881,0.010863758008141105,186,36,0.0028175545685770456,0.008960034299683516,Nepal
NLD,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Netherlands
MKD,0.00627362134845133,0.00286970121967915,80,117,0.00029563085507084845,-0.0034039201287721804,North Macedonia
NOR,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Norway
PSE,0.001497010410046298,0.007734748112355849,156,35,0.0008431360861150543,0.006237737702309551,Palestine
POL,0.008501242332645594,0.0037430301723574877,93,159,0.0009124643973721398,-0.004758212160288107,Poland
PRT,0.008501909108178498,0.0037430301723574877,93,159,0.0008876804967148855,-0.00475887893582101,Portugal
ROU,0.008351072341317309,0.003742904212370194,93,158,0.0008813413065805568,-0.004608168128947114,Romania
SMR,0.007839668192925623,0.0037409581587077062,93,144,0.0006957337682969161,-0.004098710034217917,San Marino
SAU,0.003859897266962805,0.002941337797906572,74,86,0.0012467473082928785,-0.0009185594690562329,Saudi Arabia
SRB,0.006373208441869996,0.003484024955235303,89,120,0.0009694021889688476,-0.0028891834866346935,Serbia
SGP,0.008975874337687925,0.009909919244463855,164,163,0.01800687981602909,0.0009340449067759306,Singapore
SVK,0.008501242332645594,0.0037430301723574877,93,159,0.0009124643973721398,-0.004758212160288107,Slovakia
SVN,0.008501242332645594,0.0037430301723574877,93,159,0.0009124643973721398,-0.004758212160288107,Slovenia
KOR,0.009158032340622752,0.004735601810288485,110,163,0.004138832294094063,-0.004422430530334268,South Korea
ESP,0.008707509110124708,0.00374327742282101,93,161,0.0011066981061045881,-0.004964231687303698,Spain
VCT,0.0071212785031272196,0.010767701479537038,186,135,0.012955356637416886,0.0036464229764098183,Saint Vincent and the Grenadines
SUR,0.0029621308665795363,0.00985231218683564,176,70,0.00362951532667345,0.006890181320256103,Suriname
SWE,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Sweden
CHE,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Switzerland
TWN,0.006709042699446024,0.003527138172744277,74,113,0.001398977087098479,-0.0031819045267017466,Taiwan
TZA,0.002967102242051171,0.010042704680838505,174,66,0.004082082037195463,0.007075602438787334,Tanzania
THA,0.0033726275202650056,0.005200634369812052,112,79,0.0017743181603015066,0.001828006849547046,Thailand
TTO,0.006551045720214104,0.005241512968731742,105,127,0.002431594242914021,-0.001309532751482362,Trinidad and Tobago
