country,reaches,admits,mutual,mobility_balance,reciprocated_share,one_way_out,one_way_in,name
UKR,131,81,74,50,56.5,57,7,Ukraine
URY,137,85,82,52,59.9,55,3,Uruguay
USA,153,46,46,107,30.1,107,0,United States
UZB,60,94,28,-34,46.7,32,66,Uzbekistan
VAT,135,93,81,42,60.0,54,12,Vatican
VCT,135,186,130,-51,96.3,5,56,Saint Vincent and the Grenadines
VEN,109,74,61,35,56.0,48,13,Venezuela
VNM,52,39,15,13,28.8,37,24,Vietnam
VUT,80,120,50,-40,62.5,30,70,Vanuatu
WSM,115,198,115,-83,100.0,0,83,Samoa
XKX,80,109,56,-29,70.0,24,53,Kosovo
YEM,33,12,2,21,6.1,31,10,Yemen
ZAF,94,93,50,1,53.2,44,43,South Africa
ZMB,62,145,47,-83,75.8,15,98,Zambia
ZWE,59,144,47,-85,79.7,12,97,Zimbabwe
