iso3,value,year,wb_name
TJK,0.892370798940089,2020,Tajikistan
TKM,1.01355101620555,2015,Turkmenistan
TLA,22.7,2015,Latin America & the Caribbean (IDA & IBRD countries)
TLS,4.06594633033822,2015,Timor-Leste
TMN,3.8,2015,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
TON,0.946346864516251,2019,Tonga
TSA,3.6,2015,South Asia (IDA & IBRD)
TSS,9.4,2015,Sub-Saharan Africa (IDA & IBRD countries)
TTO,40.4432986623964,2022,Trinidad and Tobago
TUN,4.69348024650292,2020,Tunisia
TUR,3.22789482308636,2023,Turkiye
TUV,18.2907311719786,2012,Tuvalu
TZA,3.74921291744897,2020,Tanzania
UGA,8.97308867739149,2023,Uganda
UKR,3.77663964401616,2021,Ukraine
URY,11.2453054170348,2023,Uruguay
USA,5.76340794073065,2023,United States
UZB,1.39879762685076,2021,Uzbekistan
VCT,51.3212761232698,2023,St. Vincent and the Grenadines
VEN,12.6466448562847,2022,"Venezuela, RB"
VGB,8.16559833421794,2006,British Virgin Islands
VIR,49.8571401177396,2012,Virgin Islands (U.S.)
VNM,1.53501286347562,2011,Viet Nam
VUT,0.3346065111081,2020,Vanuatu
WLD,5.2,2023,World
WSM,6.26258538794308,2018,Samoa
XKX,1.89497747704421,2021,Kosovo
YEM,5.80971851623815,2013,"Yemen, Rep."
ZAF,43.7202551331462,2022,South Africa
ZMB,5.20150860823759,2015,Zambia
ZWE,6.75833125350771,2022,Zimbabwe
