iso3,value,year,wb_name
DZA,2381740.0,2023,Algeria
EAP,16276146.851,2023,East Asia & Pacific (excluding high income)
EAR,34238951.43,2023,Early-demographic dividend
EAS,24794868.121,2023,East Asia & Pacific
ECA,6027327.0,2023,Europe & Central Asia (excluding high income)
ECS,28902314.768,2023,Europe & Central Asia
ECU,256370.0,2023,Ecuador
EGY,1001450.0,2023,"Egypt, Arab Rep."
EMU,3017150.738,2023,Euro area
ERI,121765.8,2023,Eritrea
ESP,505975.98,2023,Spain
EST,45340.0,2023,Estonia
ETH,1136239.7,2023,Ethiopia
EUU,4312962.168,2023,European Union
FIN,338480.0,2023,Finland
FJI,18270.0,2023,Fiji
FRA,606410.0,2023,France
FRO,12960.0,2023,Faroe Islands
FSM,700.0,2023,"Micronesia, Fed. Sts."
GAB,267670.0,2023,Gabon
GBR,243610.0,2023,United Kingdom
GEO,69700.0,2023,Georgia
GHA,238539.0,2023,Ghana
GIB,10.0,2023,Gibraltar
GIN,245860.0,2023,Guinea
GMB,11300.0,2023,"Gambia, The"
GNB,36130.0,2023,Guinea-Bissau
GNQ,28050.0,2023,Equatorial Guinea
GRC,131960.0,2023,Greece
GRD,340.0,2023,Grenada
GRL,410450.0,2023,Greenland
GTM,108890.0,2023,Guatemala
GUM,540.0,2023,Guam
GUY,214970.0,2023,Guyana
HKG,1110.0,2023,"Hong Kong SAR, China"
HND,112490.0,2023,Honduras
HPC,19801888.5,2023,Heavily indebted poor countries (HIPC)
HRV,88070.0,2023,Croatia
HTI,27750.0,2023,Haiti
HUN,93030.0,2023,Hungary
IBD,72824564.549,2023,IBRD only
IBT,98680450.049,2023,IDA & IBRD total
IDA,25855885.5,2023,IDA total
IDB,4997675.0,2023,IDA blend
IDN,1916906.77,2023,Indonesia
IDX,20858210.5,2023,IDA only
IMN,570.0,2023,Isle of Man
IND,3287260.0,2023,India
IRL,70280.0,2023,Ireland
IRN,1745150.0,2023,"Iran, Islamic Rep."
IRQ,435050.0,2023,Iraq
ISL,103000.0,2023,Iceland
ISR,22070.0,2023,Israel
ITA,302070.0,2023,Italy
JAM,10990.0,2023,Jamaica
JOR,89318.0,2023,Jordan
JPN,377969.27,2023,Japan
KAZ,2724902.0,2023,Kazakhstan
KEN,591969.0,2023,Kenya
KGZ,199950.0,2023,Kyrgyz Republic
KHM,181040.0,2023,Cambodia
KIR,810.0,2023,Kiribati
KNA,260.0,2023,St. Kitts and Nevis
KOR,100450.0,2023,"Korea, Rep."
KWT,17820.0,2023,Kuwait
LAC,19204736.06,2023,Latin America & Caribbean (excluding high income)
LAO,236800.0,2023,Lao PDR
LBN,10450.0,2023,Lebanon
LBR,111370.0,2023,Liberia
LBY,1759540.0,2023,Libya
LCA,620.0,2023,St. Lucia
LCN,20511022.94,2023,Latin America & Caribbean
LDC,20774982.5,2023,Least developed countries: UN classification
LIE,160.0,2023,Liechtenstein
LKA,65610.0,2023,Sri Lanka
LMY,79758253.411,2023,Low & middle income
LSO,30360.0,2023,Lesotho
LTE,45803282.961,2023,Late-demographic dividend
LTU,65290.0,2023,Lithuania
LUX,2590.0,2023,Luxembourg
LVA,64590.0,2023,Latvia
MAC,33.0,2023,"Macao SAR, China"
MAF,50.0,2023,St. Martin (French part)
MAR,446550.0,2023,Morocco
MCO,74.9,2023,Monaco
MDA,33850.0,2023,Moldova
MDG,587295.0,2023,Madagascar
MDV,300.0,2023,Maldives
MEA,12834540.9,2023,"Middle East, North Africa, Afghanistan & Pakistan"
MEX,1957193.9,2023,Mexico
MHL,180.0,2023,Marshall Islands
MIC,64785941.911,2023,Middle income
MKD,25710.0,2023,North Macedonia
MLI,1240190.0,2023,Mali
MLT,320.0,2023,Malta
MMR,676590.0,2023,Myanmar
MNA,10224203.0,2023,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"
MNE,13888.0,2023,Montenegro
MNG,1564115.75,2023,Mongolia
MNP,460.0,2023,Northern Mariana Islands
MOZ,799380.0,2023,Mozambique
MRT,1030700.0,2023,Mauritania
MUS,2010.0,2023,Mauritius
MWI,118480.0,2023,Malawi
MYS,330411.0,2023,Malaysia
NAC,25470210.0,2023,North America
NAM,824290.0,2023,Namibia
NCL,18580.0,2023,New Caledonia
NER,1267000.0,2023,Niger
NGA,923770.0,2023,Nigeria
NIC,130370.0,2023,Nicaragua
NLD,41540.0,2023,Netherlands
NOR,624500.0,2023,Norway
NPL,147180.0,2023,Nepal
NRU,20.0,2023,Naoero
NZL,267710.0,2023,New Zealand
OED,43545173.26,2023,OECD members
OMN,309500.0,2023,Oman
OSS,281069.0,2023,Other small states
PAK,796100.0,2023,Pakistan
PAN,75320.0,2023,Panama
PER,1285215.6,2023,Peru
PHL,300000.0,2023,Philippines
PLW,460.0,2023,Palau
PNG,462840.0,2023,Papua New Guinea
POL,313930.0,2023,Poland
PRE,20702943.8,2023,Pre-demographic dividend
PRI,8870.0,2023,Puerto Rico (US)
PRK,120540.0,2023,"Korea, Dem. People's Rep."
PRT,92230.0,2023,Portugal
PRY,406752.0,2023,Paraguay
PSE,6025.0,2023,West Bank and Gaza
PSS,65150.0,2023,Pacific island small states
PST,39359822.138,2023,Post-demographic dividend
PYF,3471.0,2023,French Polynesia
QAT,11490.0,2023,Qatar
ROU,238400.0,2023,Romania
RUS,17125190.0,2023,Russian Federation
RWA,26338.0,2023,Rwanda
SAS,3686310.0,2023,South Asia
SAU,2149690.0,2023,Saudi Arabia
SDN,1878000.0,2023,Sudan
SEN,196710.0,2023,Senegal
SGP,728.0,2023,Singapore
SLB,28900.0,2023,Solomon Islands
SLE,72300.0,2023,Sierra Leone
SLV,21040.0,2023,El Salvador
SMR,60.0,2023,San Marino
SOM,637660.0,2023,"Somalia, Fed. Rep."
SRB,84990.0,2023,Serbia
SSA,24339530.5,2023,Sub-Saharan Africa (excluding high income)
SSD,646883.0,2023,South Sudan
SSF,24339990.5,2023,Sub-Saharan Africa
SST,770215.0,2023,Small states
STP,960.0,2023,Sao Tome and Principe
SUR,163820.0,2023,Suriname
SVK,49030.0,2023,Slovak Republic
SVN,20480.0,2023,Slovenia
SWE,528660.0,2023,Sweden
SWZ,17360.0,2023,Eswatini
SXM,34.0,2023,Sint Maarten (Dutch part)
SYC,460.0,2023,Seychelles
SYR,185180.0,2023,Syrian Arab Republic
TCA,950.0,2023,Turks and Caicos Islands
TCD,1284000.0,2023,Chad
TEA,16156086.851,2023,East Asia & Pacific (IDA & IBRD countries)
TEC,23903913.758,2023,Europe & Central Asia (IDA & IBRD countries)
TGO,56790.0,2023,Togo
THA,513115.021,2023,Thailand
TJK,141379.0,2023,Tajikistan
TKM,491209.0,2023,Turkmenistan
TLA,20375970.94,2023,Latin America & the Caribbean (IDA & IBRD countries)
TLS,14870.0,2023,Timor-Leste
