iso3,value,year,wb_name
SLE,39000000.0,2018,Sierra Leone
SLV,755000000.0,2020,El Salvador
SRB,1422000000.0,2020,Serbia
SSA,34263192235.3189,2019,Sub-Saharan Africa (excluding high income)
SSD,12000000.0,2018,South Sudan
SSF,34919262972.8354,2019,Sub-Saharan Africa
SST,52579729788.3253,2019,Small states
STP,71900000.0,2018,Sao Tome and Principe
SUR,19000000.0,2020,Suriname
SVK,1303000000.0,2020,Slovak Republic
SVN,1418000000.0,2020,Slovenia
SWE,10674000000.0,2010,Sweden
SWZ,7300000.19073486,2020,Eswatini
SXM,243000000.0,2020,Sint Maarten (Dutch part)
SYC,228000000.0,2020,Seychelles
SYR,1816000000.0,2011,Syrian Arab Republic
TCA,292000000.0,2002,Turks and Caicos Islands
TCD,25000000.0,2002,Chad
TEC,121077049953.365,2019,Europe & Central Asia (IDA & IBRD countries)
TGO,264000000.0,2019,Togo
THA,15360000000.0,2020,Thailand
TJK,102400001.525879,2020,Tajikistan
TKM,46000000.0,1997,Turkmenistan
TLA,86710962273.7145,2019,Latin America & the Caribbean (IDA & IBRD countries)
TLS,78000000.0,2018,Timor-Leste
TMN,55056396011.2723,2019,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
TON,47700000.7629395,2020,Tonga
TSS,34919262972.8354,2019,Sub-Saharan Africa (IDA & IBRD countries)
TTO,151000000.0,2020,Trinidad and Tobago
TUN,1007000000.0,2020,Tunisia
TUR,13771000000.0,2020,Turkiye
TUV,2400000.0,2013,Tuvalu
TZA,2624500000.0,2019,Tanzania
UGA,518000000.0,2020,Uganda
UKR,687000000.0,2020,Ukraine
URY,1085000000.0,2020,Uruguay
USA,84205000000.0,2020,United States
UZB,395000000.0,2020,Uzbekistan
VCT,85000000.0,2020,St. Vincent and the Grenadines
VEN,546000000.0,2016,"Venezuela, RB"
VGB,484000000.0,2015,British Virgin Islands
VIR,686000000.0,2020,Virgin Islands (U.S.)
VNM,3232000000.0,2020,Viet Nam
VUT,67000000.0,2020,Vanuatu
WLD,1863068555520.54,2019,World
WSM,23059999.4659424,2020,Samoa
YEM,116000000.0,2016,"Yemen, Rep."
ZAF,2716000000.0,2020,South Africa
ZWE,66000000.0,2020,Zimbabwe
