"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Austria","AUT","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9778685569762","","18.8802100419998","","13.9749590158463","","23.1022415161133","16.3540417551994","18.5240364074706","18.767150402069","18.2656644582749","21.835128068924","22.7676000595093","20.2448576688767","19.5950195789337","20.2898675203324","22.7896368503571","23.1897097826004","21.6019077301025","19.2398650646209","15.219379901886","17.5552351474762","15.0937271118164","15.2401299476624","15.1643364429474","15.3374849557877","9.00693762302398","5.09592437744141","","",
"Azerbaijan","AZE","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.091802239418","","-11.9389036297798","","-14.1065109968185","","-20.1512043476105","-16.1177065968513","-18.0167889595031","-19.1219297647476","-18.5756001472473","-10.6419389843941","-5.61594969034195","-4.72350981831551","-4.05529768764973","-9.046311378479","-12.1677810549736","-7.0186185836792","-9.51846188306809","-12.4635296463966","-13.7363607287407","-12.7703737616539","-12.0800617933273","-11.7655024528503","-14.448693394661","-14.2899146080017","-12.9828509688377","-5.11527729034423","","",
"Burundi","BDI","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-35.9847297668457","","-39.0580494403839","","-34.2392027378083","","-38.84113073349","-38.1621325016022","-42.8869144916534","-25.8974262475967","-24.2721490859985","-23.424727678299","-27.8204716444015","-21.6145250797272","-27.6413097381591","-30.7224073410034","-28.9805483818054","-22.9547182321548","-13.3349213600159","-32.9427781105041","-33.4134142398835","-34.0596516132355","-26.6987941265106","-27.5958247184753","-26.2037789821624","-21.7092376947403","-16.6692099571228","-8.20682084560394","","",
"Belgium","BEL","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9044910669327","","17.4102077484131","","19.2067898511887","","21.4336405992507","14.5900426506996","12.0553243160248","13.4941611886024","14.5583888292313","12.8745259046555","10.5497103333473","13.9540196061134","13.7809849977493","16.2271022200584","15.7011952400208","15.981406390667","11.9215806126595","9.8405733704567","7.33858743309974","7.13105267286301","6.71884959936142","7.83831357955933","8.92511993646621","11.1144064664841","8.10355287790299","2.82697162032127","","",
"Benin","BEN","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8563200235366","","12.6187438964844","","13.5940937995911","","13.9657695889473","11.5478590130806","4.52154913544654","7.64568677544594","9.31417369842529","6.56569960713387","6.39916315674781","6.86233347654343","4.44142207503319","5.41205820441246","6.19424927234649","5.12021917104721","0.461375961080194","-0.327491788193584","-0.129050547955558","0.460217271000147","-2.48198316991329","-7.12150219082832","-7.47960224747658","-6.45268672704697","-4.84864839911461","-2.42591604590416","","",
"Burkina Faso","BFA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.11268544197082","","-1.9075911194086","","1.01694563776255","","-5.21766114234925","1.14104115217924","-1.38103779405355","-1.06509956717491","2.64859239757061","5.2191476225853","2.01831819117069","0.578684881329537","-1.99983142316341","-9.44148510694504","-9.74319702386856","-12.9776321053505","-13.3811856508255","-10.3611050248146","-14.7640773057938","-15.7713319659233","-18.0215064287185","-22.1375901699066","-26.1463640928268","-27.9169167280197","-25.1852076053619","-14.246621131897","","",
"Bangladesh","BGD","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.32985925674439","","-6.30269494652748","","-12.3464413881302","","-17.5540366172791","-18.9648796319961","-23.1280983686447","-31.6852695941926","-25.6206551790237","-26.232217669487","-25.6416320800781","-26.2951139211655","-24.2384210824967","-23.8805269002914","-23.444512963295","-27.6736009120942","-15.2245741486549","-20.5728865861893","-21.422071814537","-21.3190194368362","-16.7849990129471","-15.7996206283569","-15.5887963175774","-17.4250959157944","-14.9718321561814","-6.36059701442719","","",
"Bulgaria","BGR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.54747734963894","","9.77542942762375","","6.42539846897125","","7.94771027565003","2.94993345439434","0.0617224709130824","2.50360003113747","6.70516023039818","6.0798029601574","6.28763204813002","6.01254251599312","6.12154802680015","5.12975513935089","6.45717793703079","2.90207654237748","1.33519528061152","0.197911551222206","1.18791098147631","5.49545893073082","7.58958157896996","9.59396201372147","6.87666392326355","6.48051604628563","3.91776490211487","2.39303040504456","","",
"Bahrain","BHR","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.23290440440178","","-2.76012173295022","","0.956538379192352","","4.94411635398865","8.22662290930748","5.32784357666969","0.24076655972749","-6.20586043596267","-4.21214972436428","-4.03522589802743","-2.33307050168515","-8.38909864425659","-16.1643123626709","-19.2092338800431","-22.7021017074585","-15.4270728826523","-18.176298379898","-13.4780802726746","-16.3071370124817","-14.3995716571808","-10.6577345728874","-10.395022392273","-8.86211824417114","-5.38953757286072","-2.61777311563492","","",
"Bahamas, The","BHS","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2073016166687","","18.484534740448","","21.7520412206649","","16.244212448597","14.0479130744934","15.1404324769974","15.948438346386","13.7777131199837","12.4120815992355","13.1670595407486","14.6128677725792","16.892767727375","18.761565208435","20.1284420490265","19.2920187711716","16.2599922418594","15.2521838545799","16.3654631972313","16.6434218287468","14.455828666687","13.6699557900429","14.1603262424469","14.5427954792976","12.3527026176453","7.05993628501889","","",
